      Date    Data Minimum    10%    30%   Mean    70%    90% Maximum
2006-07-04  308.63  265.03 272.49 279.23 286.83 292.52 302.01  316.59
2006-07-05  310.10  265.39 273.76 278.76 286.87 291.51 303.03  319.49
2006-07-06  311.87  264.49 272.32 279.83 287.01 292.45 305.06  316.73
2006-07-07  311.73  261.27 273.29 277.84 286.99 293.42 306.12  316.60
2006-07-08  308.34  260.70 274.66 279.05 286.74 291.24 305.13  315.56
2006-07-09  306.01  259.79 273.44 276.92 286.64 290.70 306.09  314.54
2006-07-10  306.23  259.66 271.95 277.20 285.84 291.61 303.81  317.92
2006-07-11  307.63  263.13 272.07 278.55 285.85 291.01 303.75  312.61
2006-07-12  305.80  263.97 269.45 276.40 284.82 291.59 302.22  310.41
2006-07-13  305.35  262.75 268.58 275.57 284.52 291.40 305.49  308.46
2006-07-14  304.97  256.86 268.30 275.77 283.99 289.95 304.74  310.36
2006-07-15  304.52  257.20 268.60 276.08 283.43 288.48 303.71  314.96
2006-07-16  303.30  255.28 268.78 274.06 284.21 289.43 303.35  333.25
2006-07-17  305.86  260.16 270.72 273.01 285.42 292.62 302.64  338.79
2006-07-18  302.92  258.91 269.85 276.14 285.97 290.72 303.17  340.41
2006-07-19  301.99  251.94 269.96 274.89 284.50 288.57 303.36  333.74
2006-07-20  299.56  249.72 270.37 275.22 284.06 286.88 304.52  324.86
2006-07-21  298.34  251.61 269.48 274.34 283.34 287.42 302.87  326.45
2006-07-22  296.56  245.59 266.53 272.08 282.46 288.28 300.85  333.09
2006-07-23  291.83  248.55 266.56 272.78 282.55 288.46 301.14  330.93
2006-07-24  289.88  245.41 266.81 271.24 280.91 286.14 299.98  329.10
2006-07-25  284.05  246.33 258.96 270.45 278.79 286.85 298.61  321.11
2006-07-26  285.54  246.23 261.44 269.53 277.84 285.54 296.81  316.24
2006-07-27  283.50  247.86 257.82 267.95 275.71 283.21 294.15  307.79
2006-07-28  279.96  244.37 256.23 265.61 273.71 279.39 292.12  308.69
2006-07-29  279.95  246.51 254.61 264.73 272.31 279.95 291.55  301.17
2006-07-30  283.54  243.28 255.24 262.74 272.62 279.31 293.63  303.70
2006-07-31  274.36  239.63 252.79 263.24 271.62 279.87 293.38  303.51
2006-08-01  271.36  240.86 250.07 263.25 271.68 280.08 295.21  302.03
2006-08-02  272.32  242.82 247.19 263.21 271.18 281.89 292.38  303.11
2006-08-03  269.48  239.38 243.96 259.06 269.44 276.86 294.24  311.03
2006-08-04  262.00  231.37 247.04 257.55 268.28 277.43 295.97  317.52
2006-08-05  257.77  225.40 246.76 256.71 267.15 276.52 294.52  309.60
2006-08-06  257.90  226.01 247.10 253.72 265.96 275.14 290.06  306.70
2006-08-07  255.75  223.61 244.70 253.72 264.21 273.26 292.21  301.57
2006-08-08  255.39  221.40 243.99 253.91 264.41 272.59 293.72  311.03
2006-08-09  254.19  226.13 244.09 252.43 263.97 272.90 296.22  309.58
2006-08-10  253.98  229.60 239.37 251.02 262.48 270.69 290.60  309.80
2006-08-11  251.72  225.44 235.46 247.72 259.74 270.68 283.93  296.74
2006-08-12  249.17  220.28 233.35 245.99 258.18 268.47 282.16  297.34
2006-08-13  247.60  216.63 231.46 245.92 257.05 266.75 283.74  298.31
2006-08-14  248.34  214.72 231.68 243.59 256.62 267.81 284.55  298.83
2006-08-15  247.30  216.82 228.38 242.41 255.16 266.53 285.19  291.85
2006-08-16  244.49  215.32 229.72 241.24 254.13 266.10 285.45  289.92
2006-08-17  241.92  213.74 227.02 241.43 252.97 264.33 284.56  292.87
2006-08-18  241.55  211.40 226.15 239.64 252.89 266.02 281.94  296.37
2006-08-19  241.59  210.78 227.83 237.95 252.22 260.70 284.47  298.23
2006-08-20  240.65  204.29 227.35 236.06 251.25 259.79 285.86  295.45
2006-08-21  238.49  204.59 219.73 234.28 249.95 261.69 283.69  295.85
2006-08-22  234.09  209.00 218.35 230.91 248.20 261.29 280.26  300.22
2006-08-23  228.76  211.34 219.00 228.24 246.87 259.02 278.06  297.65
2006-08-24  228.44  209.22 216.83 228.33 245.92 256.44 276.90  297.20
2006-08-25  225.85  205.06 216.36 226.74 243.97 251.98 273.77  299.37
2006-08-26  221.46  204.56 215.64 226.54 242.73 252.49 274.90  296.42
2006-08-27  218.38  207.68 213.14 225.03 241.74 249.11 274.00  297.33
2006-08-28  214.78  202.10 214.03 226.25 240.62 248.24 274.52  301.95
2006-08-29  211.13  196.49 211.04 227.22 239.32 243.87 274.91  301.41
2006-08-30  208.40  196.33 208.59 224.15 237.89 242.59 277.99  298.27
2006-08-31  206.40  194.31 207.78 220.05 237.17 244.87 276.34  294.60
2006-09-01  204.63  188.88 204.76 219.80 236.71 244.12 273.75  294.83
2006-09-02  203.44  184.65 203.16 220.80 234.91 242.40 271.87  289.74
2006-09-03  201.14  182.18 200.86 216.32 232.72 242.08 273.10  291.96
